alim_nom_fr,Calories,Proteines,Glucides,Lipides
"Poivron rouge, cru","36,6","1,06","5,98","< 0,5"
"Radis noir, cru","29,2","0,94","5,52","< 0,3"
"Scarole, crue",-,"1,25","0,3","0,2"
"Betterave rouge, crue",-,"1,74","9,1","0,24"
"Échalote, crue","63,6","1,81","12,2","< 0,5"
"Mâche, crue","16,8",2,"0,5","< 0,5"
"Légumes, mélange surgelé, crus","65,1","2,26","5,71","2,65"
"Champignon, chanterelle ou girolle, crue","33,1","2,28","2,3","0,78"
"Champignon, morille, crue","24,5","3,16","0,1","0,54"
"Champignon, truffe noire, crue",-,"5,77",-,"0,51"
"Maïs doux, en épis, surgelé, cru",-,"3,36",17,"1,19"
"Oseille, crue",-,"1,84","1,6","0,65"
"Champignon, pleurote, crue","25,5","3,06","1,5","0,36"
"Chou blanc, cru","36,5","1,38","4,63","0,6"
"Tomate verte, crue",-,"1,2",4,"0,2"
"Batavia, crue","17,9","1,25","1,78","< 0,5"
"Haricot de Lima, cru",105,"6,84","15,3","0,86"
"Courge musquée, pulpe, crue",-,"0,55","4,6","0,1"
"Potimarron, pulpe, cru",-,"0,63","3,1","0,1"
"Courge hokkaïdo, pulpe, crue",-,"1,4","9,98","0,6"
"Courge melonnette, pulpe, crue",-,"0,75","5,98","0,13"
"Courge doubeurre (butternut), pulpe, crue",-,1,"5,4","0,1"
"Courge, crue",-,"1,1","1,6","0,17"
"Courge spaghetti, pulpe, crue",-,"0,64","5,41","0,57"
"Piment, cru",-,"1,87","7,7","0,32"
"Champignon, oronge vraie, crue","23,2",2,"2,45","0,3"
"Champignon, cèpe, cru","31,6","3,13","3,03","0,43"
"Champignon, rosé des prés, cru","25,3","2,3","2,45","0,4"
"Chicorée rouge, crue",-,"1,4","1,6","0,1"
"Chicorée verte, crue",-,"1,9","0,5","0,5"
"Citrouille, pulpe, crue",-,1,6,"0,1"
"Chou chinois ou pak-choi ou pé-tsai, cru",-,"1,38","1,65","0,2"
"Poivron jaune, cru","30,7","0,94","4,73","0,3"
"Laitue romaine, crue",-,"1,24","1,2","0,3"
"Tomate cerise, crue","33,7","1,31","5,62","< 0,5"
"Pois mange-tout ou pois gourmand, cru",-,"3,08","6,2","0,27"
"Panais, cru","58,3","1,54","10,1","0,4"
"Haricot mungo germé ou pousse de ""soja"", cru",-,"2,81","3,4","< 0,5"
"Tomate côtelée ou coeur de boeuf, crue","19,8","0,5","3,23","< 0,5"
"Haricot beurre, cru",-,"1,85","5,6","0,16"
"Salsifis noir, ou scorsonère d'Espagne, cru",-,"3,13","15,3","0,3"
"Bambou, pousse, crue","35,1","2,52","5,08","0,2"
"Cresson alénois, cru",-,"2,55","2,2","0,6"
"Laitue iceberg, crue",-,"1,01","2,45","0,18"
"Rutabaga, cru",-,"1,17","5,7","0,13"
"Haricot beurre, surgelé, cru",-,2,"4,9","0,17"
"Brocoli, surgelé, cru",-,"2,79","1,56","0,44"
"Chou de Bruxelles, surgelé, cru",-,"3,43","4,5","0,33"
"Carotte, surgelée, crue",-,"0,63","4,99","0,27"
"Concombre, pulpe, cru","14,7","0,56","2,23","< 0,5"
"Petits pois et carottes, surgelés, crus",-,"3,89","7,1","0,37"
"Roquette, crue",-,"2,58","2,1","0,66"
"Chou frisé, cru",-,"4,33","4,2","1,07"
"Champignon de Paris ou champignon de couche, surgelé, cru","15,9","1,8","0,83","0,25"
"Courgette, pulpe et peau, surgelée, crue",-,"1,19","2,18","0,14"
"Crosne, surgelé, cru",-,"1,4","8,7",0
"Artichaut, fond, surgelé, cru",-,"2,08","8,09","0,43"
"Maïs doux, surgelé, cru",-,"3,28","19,8","0,78"
"Navet, surgelé, cru",-,"0,82",2,"0,18"
"Oignon, surgelé, cru",-,1,"5,39","0,12"
"Poireau, surgelé, cru","26,7","1,42","3,35","0,29"
"Salsifis, surgelé, cru",-,"2,65","4,15","0,15"
"Oignon rouge, cru","36,3","1,31","5,63","0,4"
"Oignon jaune, cru","37,8","1,19","6,39","< 0,5"
"Légumes pour potages, surgelés, crus","34,1","1,44","4,69","0,44"
"Julienne ou brunoise de légumes, surgelée, crue",-,"1,19","4,08","0,25"
"Légumes pour ratatouille, surgelés",-,"1,01","3,23","0,089"
"Printanière de légumes, surgelée, crue (haricots verts, carottes, pomme de terre, petits pois, oignons)",-,"2,4","8,48","0,078"
"Haricot plat, cru",-,"1,93","4,47","0,12"
"Épinard, jeunes pousses pour salades, cru","18,3","2,06","< 0,85","0,4"
"Mesclun ou salade, mélange de jeunes pousses",-,2,"2,5",0
"Tomate ronde, crue","20,3","0,5","3,59","< 0,5"
"Asperge, verte, crue",-,"2,46","2,03","0,27"
"Chou romanesco ou brocoli à pomme, cru",-,"2,93","2,2","0,4"
"Asperge, blanche ou violette, pelée, crue",-,"2,5","2,5","0,3"
"Salicorne (Salicornia sp.), fraîche",-,"0,67","1,1","0,24"
"Salade sucrine, crue","17,9","1,13","2,58","< 0,3"
"Salade feuille de chêne, crue","14,3","1,13","1,03","< 0,5"
"Légumes pour couscous, surgelés, crus","46,5","2,05","6,75","0,7"
"Tomate grappe, crue","20,1","0,5","3,03","< 0,5"
"Salade verte, crue, sans assaisonnement",-,"1,01","1,5","0,1"
"Banane plantain, crue",-,"1,28","29,6","0,39"
"Chayote ou christophine ou chouchou, bouillie/cuite à l'eau",-,"0,62","2,29","0,48"
"Artichaut, cuit",-,"2,53","0,99","0,28"
"Asperge, bouillie/cuite à l'eau",-,"2,68","0,81","0,32"
"Aubergine, cuite",-,"1,33","4,17","0,28"
"Betterave rouge, cuite","42,8","1,44","7,13","0,4"
"Bette ou blette, cuite","14,7","0,7","1,23","< 0,5"
"Brocoli, cuit",-,"2,1","1,1","0,78"
"Carotte, appertisée, égouttée","21,9","0,67","3,4","0,2"
"Carotte, cuite","18,9","0,55","2,6","0,1"
"Champignon, tout type, appertisé, égoutté","24,9","1,87","2,56","0,29"
"Chou de Bruxelles, cuit",-,"2,6","4,2","0,11"
"Chou vert, cuit",-,"1,03","3,04","0,45"
"Chou-fleur, cuit","20,9","1,6","1,6","0,46"
"Coeur de palmier, appertisé, égoutté",-,"2,45","4,03","0,5"
"Courgette, pulpe et peau, cuite","15,5","0,93","1,4","0,36"
"Céleri branche, cuit",-,"0,83","1,2","0,16"
"Céleri-rave, cuit",-,"1,3","4,6","0,86"
"Épinard, cuit",-,"3,2","0,5","0,14"
"Haricot mungo germé ou pousse de ""soja"", appertisé, égoutté",-,"1,71","2,36","0,12"
"Haricot vert, cuit","29,4",2,3,"0,17"
"Navet, cuit",-,"0,9","3,8","0,2"
"Oignon, cuit",-,"1,3","6,2","0,2"
"Petits pois, appertisés, égouttés","81,5","5,12","10,7","0,8"
"Petits pois, cuits",-,"5,8","4,7","0,87"
"Poireau, cuit",-,"1,1",3,"0,2"
"Potiron, appertisé, égoutté",-,"1,1","5,19","0,28"
"Salsifis, cuit",-,"2,73","12,3","0,17"
"Tomate, pelée, appertisée, égouttée","18,3","1,07","1,89","0,28"
"Maïs doux, en épis, cuit",-,"3,41","18,6","1,5"
"Macédoine de légumes, appertisée, égouttée","40,4","2,32","5,59","0,28"
"Épinard, appertisé, égoutté",-,"2,81","0,93","0,5"
"Haricot vert, appertisé, égoutté","23,1","1,33","2,07","0,31"
"Haricot beurre, appertisé, égoutté",-,"1,22","3,48","0,23"
"Maïs doux, appertisé, égoutté",106,"2,82","18,4","1,68"
"Artichaut, appertisé, égoutté",-,"1,5","6,5","0,2"
"Tomate, concentré, appertisé","99,2","4,4","17,1","0,53"
"Haricot vert, surgelé, cuit","36,3","1,95","5,1","0,19"
"Artichaut, cuit à la vapeur sous pression","47,3","2,63","3,24","< 0,3"
"Asperge, appertisée, égouttée",-,"1,58","1,43","0,27"
"Chou de Bruxelles, appertisé, égoutté",-,"2,5","4,1","0,53"
"Céleri branche, appertisé, égoutté","13,1","0,63","1,38","0,15"
"Champignon de Paris ou champignon de couche, appertisé, égoutté","19,4","2,23","0,7","0,37"
"Salsifis, appertisé, égoutté",-,"1,25","4,25","0,15"
"Poivron vert, cuit",-,"0,92","2,36","0,2"
"Poivron rouge, cuit",-,"1,4",7,"0,3"
"Petits pois et carottes, appertisés, égouttés",49,"2,51","7,39","0,33"
"Chou-rave, bouilli/cuit à l'eau",-,"1,8","4,4","0,11"
"Chou rouge, bouilli/cuit à l'eau",-,"1,51","3,32","0,09"
"Potiron, cuit",-,"0,81","4,5","0,07"
"Champignon de Paris ou champignon de couche, bouilli/cuit à l'eau","28,7","2,17",3,"0,47"
"Fenouil, bouilli/cuit à l'eau",-,"1,13","0,8","< 0,1"
"Épinard, surgelé, cuit",-,"4,01","0,51","0,87"
"Chou-fleur, surgelé, cuit",18,"1,61","1,05","0,22"
"Petits pois, surgelés, cuits",-,"5,15","7,95","0,27"
"Champignon de Paris ou champignon de couche, sauté/poêlé, sans matière grasse","38,4","4,44","4,53","0,6"
"Panais, cuit","67,8","1,32","13,4","0,3"
Fondue de poireau,-,"1,1",0,"5,2"
"Courge doubeurre (butternut), pulpe, cuite",-,"1,23",-,"0,07"
"Courge spaghetti, pulpe, cuite",-,"0,66","5,06","0,26"
"Artichaut, coeur, appertisé, égoutté",26,"1,8","2,31","< 0,5"
"Artichaut, fond, appertisé, égoutté","25,2","1,2","3,02","< 0,5"
"Tétragone cornue, cuite",-,"1,3",1,"0,17"
"Rutabaga, cuit",-,"0,93","4,26","0,18"
"Tomate, pulpe, appertisée","26,1","1,2","3,63","< 0,5"
"Tomate, purée, appertisée","47,1","1,4","7,54","0,4"
"Bambou, pousses, appertisées, égouttées",-,"1,61","1,9","0,15"
"Brocoli, surgelé, cuit",-,"3,1","2,36","0,11"
"Chou de Bruxelles, surgelé, cuit",-,"3,64","4,22","0,39"
"Carotte, surgelée, cuite","32,9","0,58","4,52","0,68"
"Champignon, lentin comestible ou shiitaké, cuit","60,9","1,56","12,3","0,22"
"Petits pois et carottes, surgelés, cuits",-,"3,09","7,02","0,42"
"Pois mange-tout ou pois gourmand, bouilli/cuit à l'eau","30,5","2,25","3,39","0,3"
"Chou frisé, cuit",-,"1,9","3,63","0,4"
"Chou chinois (pak-choi ou pé-tsai), cuit",-,"1,53","0,75","0,17"
"Cardon, cuit",-,"0,76","3,63","0,11"
"Tomate, pulpe et peau, bouillie/cuite à l'eau",-,"0,95","2,8","0,11"
"Pois mange-tout ou pois gourmands, cuits",-,"3,5","5,92","0,38"
"Échalote, cuite",-,"2,13","13,5","< 0,5"
"Haricots verts, purée",-,"1,7","4,2","2,9"
"Légumes (3-4 sortes en mélange), purée","61,8","1,94","4,25","3,4"
"Brocoli, purée",-,"2,5","2,75","0,38"
"Tomate, coulis, appertisé (purée de tomates mi-réduite à 11%)",-,"2,05","8,53","0,2"
"Carotte, purée","31,5","0,88","5,06","< 0,3"
"Courgette, purée",-,"2,8","6,5","1,9"
"Tomate, double concentré, appertisé","92,8","3,73",17,"0,29"
"Macédoine de légumes, surgelée, pré-cuite (à recuire)","54,5","3,48","6,8","0,28"
"Poivron rouge, appertisé, égoutté",-,"0,91","4,42","0,77"
"Asperge blanche, bouillie/cuite à l'eau","18,6","1,44","1,63","0,3"
"Céleri-rave, purée",-,"1,37","2,83","0,18"
"Petits pois, purée",-,"4,8",8,"2,8"
"Épinard, purée",-,"3,7","5,2","2,2"
"Tomate, pulpe et peau, rôtie/cuite au four","31,1","0,88","4,13","0,6"
"Chou romanesco ou brocoli à pomme, cuit","35,8",3,"2,03","0,8"
"Potimarron, pulpe, cuit à l'étouffée","44,8","1,31","7,05","0,5"
"Courge musquée, pulpe, cuite","30,7","1,06","5,24","< 0,5"
"Carotte, purée cuisinée à la crème, préemballée","44,4","1,44","4,57","1,6"
"Asperge verte, bouillie/cuite à l'eau","26,6","2,69","1,73","0,3"
"Aubergine, pulpe et peau, rôtie/cuite au four","33,8","1,31","3,83","< 0,3"
"Bette ou blette, côte et feuille, bouillie/cuite à l'eau","16,9","0,88","1,43","0,3"
"Brocoli, bouilli/cuit à l'eau, croquant","23,5","2,5","1,23","0,4"
"Brocoli, bouilli/cuit à l'eau, fondant","23,1","2,19","1,03","0,5"
"Brocoli, cuit à la vapeur","37,6","4,13","2,53","0,7"
"Carotte, bouillie/cuite à l'eau, croquante","35,7","0,75","6,33","< 0,3"
"Carotte, bouillie/cuite à l'eau, fondante","31,6","< 0,5","5,73","< 0,3"
"Carotte, cuite à la vapeur","41,6","0,63","7,33","0,3"
"Chou blanc, bouilli/cuit à l'eau","23,5",1,"3,23","< 0,3"
"Chou de Bruxelles, bouilli/cuit à l'eau","45,4","3,19","5,4","< 0,3"
"Chou rouge, cuit à l'étouffée","34,9","1,19","5,7","< 0,3"
"Chou vert, bouilli/cuit à l'eau","21,6","1,63","1,83","< 0,3"
"Chou-fleur, cuit à la vapeur","30,1","2,56","3,41","0,3"
"Courgette, pulpe et peau, rôtie/cuite au four",23,"1,5","3,13","< 0,3"
"Céleri branche, cuit à l'étouffée","16,7","0,75","2,48","< 0,3"
"Céleri rave, bouilli/cuit à l'eau","26,2","0,94","4,32","0,3"
"Endive, rôtie/cuite au four","23,5","1,13","4,38","< 0,3"
"Fenouil, cuit à l'étouffée","13,7","< 0,5","1,94","< 0,3"
"Haricot beurre, bouilli/cuit à l'eau","34,6","2,19","4,45","0,3"
"Haricot vert, bouilli/cuit à l'eau",28,"1,75","3,39","< 0,3"
"Navet, bouilli/cuit à l'eau","21,1","0,75","3,23","< 0,3"
"Oignon blanc ou jaune, sauté/poêlé sans matière grasse","40,2","1,56","6,73","< 0,3"
"Oignon nouveau ou oignon frais ou cébette, sauté/poêlé sans matière grasse","27,6","1,13","3,56","0,3"
"Oignon rouge, sauté/poêlé sans matière grasse","42,4","1,69","7,55","< 0,3"
"Panais, cuit à l'étouffée","90,8","1,94","16,6","0,5"
"Petits pois, bouillis/cuits à l'eau","80,3","6,38","9,93","0,6"
"Poireau, bouilli/cuit à l'eau","27,4","2,56","2,23","< 0,3"
"Poivron jaune, sauté/poêlé sans matière grasse","35,8",1,"5,33","0,6"
"Poivron rouge, sauté/poêlé sans matière grasse","35,7","0,94","6,53","< 0,3"
"Poivron vert, sauté/poêlé sans matière grasse","28,6","1,25","3,53","0,3"
"Potimarron, pulpe, bouilli/cuit à l'eau","38,2","1,06","6,88","0,3"
"Potiron, rôti/cuit au four","30,2","< 0,5","5,66","< 0,3"
"Salsifis, bouilli/cuit à l'eau","57,9","2,63","9,29","< 0,3"
"Tomate, rôtie/cuite au four","25,3",1,"3,53","0,4"
"Échalote, sautée/poêlée sans matière grasse","66,9",2,"12,3","0,4"
"Épinard, bouilli/cuit à l'eau","28,1","3,38","< 0,85","0,7"
"Légumes pour couscous, cuits",-,"1,53","2,55","0,43"
Légume cuit (aliment moyen),"43,5","2,11","5,81","0,3"
"Crosne, cuit","50,8","2,13","9,11","< 0,5"
"Gombo, fruit, cuit",-,"1,87","2,01","0,21"
"Carotte, déshydratée",-,"8,1",56,"1,49"
"Oignon, séché",-,"8,95",75,"0,46"
"Tomate, séchée",-,"14,2","43,3","2,99"
"Champignon noir, séché",-,"7,27",-,"0,075"
"Champignon, lentin comestible ou shiitaké, séché",316,"9,58","63,9","0,99"
"Tomate, séchée, à l'huile",187,"4,27","13,4","11,7"
"Banane jaune, pulpe, cuite à la vapeur, prélevée à la Martinique",-,"1,06",-,"0,057"
"Chips de giraumon (variété locale), pulpe, prélevé à la Martinique",-,-,"12,3",-
"Chips de giraumon (variété phoenix), pulpe, prélevé à la Martinique",-,-,"13,9",-
"Chou dur ou chou caraïbe, pulpe, cuit à la vapeur, prélevé à la Martinique",-,"3,25",-,"0,0033"
"Christophine à peau blanche, pulpe, cuite à la vapeur, prélevée à la Martinique",-,"1,21","5,93","0,033"
"Christophine à peau verte, pulpe, cuite à la vapeur, prélevée à la Martinique",-,"1,23","4,6","0,023"
"Christophine blanche, pulpe, appertisée, non égouttée, prélevée à la Martinique",-,-,-,-
"Christophine, pulpe, cuite à la vapeur, surgelée, prélevée à la Martinique",-,-,-,-
"Concombre, pulpe avec graines, cru, prélevé à la Martinique",-,"0,73",-,"0,58"
"Concombre, pulpe, cru, prélevé à la Martinique",-,"0,42",-,"0,27"
"Cresson, feuille, cru, prélevé à la Martinique",-,"2,25",traces,"0,1"
"Dachine, pulpe, cuit à la vapeur, prélevé à la Martinique",-,"1,15",-,"0,3"
"Farine de pulpe de patate douce, prélevée à la Martinique",-,-,"50,1",-
"Fruit à pain, pulpe, cuit à la vapeur, prélevé à la Martinique",-,"1,29",-,"0,11"
"Giraumon (variété locale), pulpe, cuit à la vapeur, prélevé à la Martinique",-,"1,1","4,51","0,097"
"Giraumon (variété locale), pulpe, cuit à la vapeur, surgelé, prélevé à la Martinique",-,-,"3,75",-
"Giraumon (variété locale), pulpe, râpé, cru, prélevé à la Martinique",-,-,"2,42",-
"Giraumon (variété phoenix), pulpe, cuit à la vapeur, prélevé à la Martinique",-,"1,03","5,62","0,05"
"Giraumon (variété phoenix), pulpe, râpé, cru, prélevé à la Martinique",-,-,"3,51",-
"Giraumon (variété phoenix), pulpe, surgelé, cuit à la vapeur, prélevé à la Martinique",-,-,"4,37",-
"Gombo, entier, appertisé, non égoutté, prélevé à la Martinique",-,-,-,-
"Gombo, entier, cuit à la vapeur, prélevé à la Martinique",-,"1,8","4,69","0,3"
"Gombo, pulpe, blanchi, surgelé, prélevé à la Martinique",-,"0,24","5,28","0,1"
"Igname cousse-couche, pulpe, cuit à la vapeur, prélevé à la Martinique",-,"1,65","17,9","0,3"
"Igname jaune, pulpe, cuit à la vapeur, prélevé à la Martinique",-,"2,04","27,6","0,37"
"Igname saint martin, pulpe, cuit à la vapeur, prélevé à la Martinique",-,"2,25","18,4","0,3"
"Topinambour, pulpe, cuit à la vapeur, prélevé à la Martinique",-,"1,23",-,"0,18"
"Kamanioc, pulpe, cuit à la vapeur, prélevé à la Martinique",-,"0,6",-,0
"Massissi, pulpe, cru, prélevé à la Martinique",-,"2,58",-,"0,8"
"Papaye, pulpe, crue, prélevée à la Martinique",-,"0,67",-,"0,0033"
"Papaye, pulpe, cuite à la vapeur, prélevée à la Martinique",-,"0,63",-,0
"Patate douce, pulpe, blanchie, surgelée, prélevée à la Martinique",-,-,"19,3",-
"Patate douce, pulpe, cuite à la vapeur, prélevée à la Martinique",-,"1,48","25,2","0,067"
"Pois d'angole, entier, cuit à la vapeur, prélevé à la Martinique",-,"16,3",-,"0,74"
"Ti nain, pulpe, cuit à la vapeur, prélevé à la Martinique",-,"1,13",-,"0,05"
"Tomate, entière, crue, prélevée à la Martinique",-,"1,06",-,"0,06"
"Brèdes chou de Chine ou bok choy ou pak choï, tiges et feuilles, cuites à la vapeur, prélevées à La Réunion (Brassica rapa subsp. Chinensis)","17,7","1,69","1,7","< 0,3"
"Chayote ou christophine ou chouchou, pulpe avec pépins, cuite à la vapeur, prélevée à La Réunion (Sechium edule)","22,2","0,63","3,5","< 0,3"
"Tapioca ou Perles du Japon, cru",354,"0,19","87,8","0,02"
"Pomme de terre, sans peau, rôtie/cuite au four","91,9","1,96","20,1","0,1"
"Pomme de terre, bouillie/cuite à l'eau","80,5","1,8","16,7","0,34"
"Chips de pommes de terre nature ou aromatisées, standard",545,"5,67","51,1","34,3"
"Pomme de terre nouvelle, bouillie/cuite à l'eau",-,"1,44",-,"0,3"
"Pomme de terre, sans peau, crue","80,5","2,16","16,2","0,18"
"Pomme de terre, appertisée, égouttée","59,9","1,47","11,7","0,34"
"Pomme de terre noisette, surgelée, crue",181,"2,76","24,9","7,22"
"Pomme de terre vapeur, sous vide","73,6","1,7","15,4","0,2"
"Pomme de terre poêlée, avec matière grasse",137,"2,5","17,3","5,7"
"Pomme de terre, flocons déshydratés, au lait ou à la crème",371,"10,5","69,4","3,97"
"Pomme de terre, purée à base de flocons, reconstituée avec lait entier, matière grasse","97,9","1,92","10,2","5,18"
"Pomme de terre, purée, avec lait et beurre, non salée","88,8","1,87","14,2","2,4"
"Pomme de terre, purée à base de flocons, reconstituée avec lait demi-écrémé et eau, non salée","67,3","2,63","12,1","0,53"
"Pomme de terre dauphine, surgelée, crue",285,"4,62","25,6","17,7"
"Pomme de terre dauphine, surgelée, cuite",302,"4,5","30,2","17,7"
"Pomme de terre, flocons déshydratés, nature",361,"8,04","76,1","0,46"
"Pomme de terre nouvelle, crue","76,4","1,88","15,9","0,3"
